TAG4UNKN-WORD,NN,False
TAG4UNKN-CAPITAL,NNP,False
%,NN,False
'60s,NNS,'60
'70s,NNS,'70
'80s,NNS,'80
'90s,NNS,'90
'Em,NNP,False
01-02-03,NNP,False
100-Share,NNP,False
12-inches,NNS,12-inch
12-pack,NN,False
16-year-olds,NNS,16-year-old
1890s,NNS,1890
19-year-olds,NNS,19-year-old
1900s,NNS,1900
1930s,NNS,1930
1940s,NNS,1940
1960s,NNS,1960
1970s,NNS,1970
1989-1,NNP,False
1989-A,NNP,False
1989A,NNP,False
1989B,NNP,False
1\/10th,NN,False
20-stocks,NNS,20-stock
20s,NNS,20
240SX,NNP,False
30-Oct,NNP,False
300ZX,NNP,False
3090s,NNS,3090
30s,NNS,30
323s,NNS,323
340B,NNP,False
3M,NNP,False
42nd,NNP,False
486tm,NN,False
500-Stock,NNP,False
7-Eleven,NNP,False
727,NNP,False
747-400s,NNS,747-400
75-cents-an-hour,NNS,False
757-200s,NNS,757-200
767-300ER,NNP,False
7A,NN,False
7B,NN,False
8300s,NNS,8300
900-TELELAW,NN,False
A&E,NNP,False
A&M,NNP,False
A&P,NNP,False
A&W,NNP,False
A's,NNP,A'
A-6,NN,False
A-D,NNP,False
A.,NNP,False
A.C.,NNP,False
A.D.,NNP,False
A.D.L.,NNP,False
A.F.,NNP,False
A.G.,NNP,False
A.H.,NNP,False
A.J.C.,NNP,False
A.L.,NNP,False
A.P.,NNP,False
A.T.B.,NNP,False
A310-300s,NNP,A310-300
A330-300s,NNS,A330-300
AB,NNP,False
ABA,NNP,False
ABB,NNP,False
ABBIE,NNP,False
ABC,NNP,False
ABM,NNP,False
ABORTION,NN,False
ABUSE,NN,False
AC&R,NNP,False
AC&R\/CCL,NNP,False
AC-130U,NN,False
ACCEPTANCES,NNS,ACCEPTANCE
ACCOUNT,NN,False
ACCOUNTING,NNP,False
ACLU,NNP,False
ACQUISITION,NNP,False
ACRES,NNP,ACRE
ADN,NNP,False
ADRs,NNS,ADR
ADS,NNPS,AD
ADVERTISING,NNP,False
AEG,NNP,False
AEI,NNP,False
AEP,NNP,False
AEW,NNP,False
AFL-CIO,NNP,False
AFTERSHOCKS,NNS,AFTERSHOCK
AG,NNP,False
AGIP,NNP,False
AGS,NNP,AG
AIDS,NNP,AID
AIR,NNP,False
AIW,NNP,False
AK-47,NNP,False
ALAMCO,NNP,False
ALBERTA,NNP,False
ALCEE,NNP,False
